id,name,logo,top,slug,meta_title,meta_description,created_at,updated_at
87,Indigo Nation,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXojALiWcrhgZUkAwgBf6hpeU1i8RnfMSuVNKFFpDP1nlA2yEkIWB6ACBsrg&s,0,,,,,
88,Provogue,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXClJnc4pwXjl3fuB2M7uPo5CQgyZVn9W9TBNIxTh7jiCbQKxmNbVNIxWa2g&s,0,,,,,
89,Fastrack,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqgaXr_dWpihyBPxgrnf6qboza1puh_HCICRQH-6uTK1U3xoUZMXLyoieBSg&s,0,,,,,
90,New Balance,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7zjoTobX6sR_VVPJ7d8tsoUefAnsaCLw1zSPIkx6LMGbPzvJh5rwGgwkO4A&s,0,,,,,
91,Doodle,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlP5PB-2GmYcsBYy3Nnb4GawiKKhzgdobaaQG8q_EfD-OL7TaUJd954YnPS40&s,0,,,,,
92,Mark Taylor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTt7KEjm_VnbpUN8A_cXH_gtrz1NL_k5-15IxritWjbDaxvdfO2ocAUea4F5oI&s,0,,,,,
93,Regent Polo Club,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3A3a9I8aROcESP39RjcW6kUH3oT9hZjyLGtmUDnDFAWn4cOl8AzcJ762T7g&s,0,,,,,
94,John Miller,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT0C3eWV4lAjLyu8Qsf1DbKNDq_9LzS8M8EIR7MIXuWJtdmEN9pCOW9uRopw&s,0,,,,,
95,Buckaroo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtGIpUPfzWpBwhmgmioAM6B_kh91aGKEPeRKjk5fKnnEejTuiHaHNUftx3KA&s,0,,,,,
96,Indian Terrain,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXPLbQh6uRxWtdL4Po0sXuouoyJsqshqDUK4-ExFBPqlgzsKC2YuLSI7_fyaI&s,0,,,,,
97,Hush Puppies,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQy2MiThA-r3nkgfoatpCLQlnsrrS7muI5h6oFJa8uIF-NAsKgTlDfvmfir9g&s,0,,,,,
98,Scholl,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSe6CINFGTjS7nhg9K7UcTZiFQX4gZnS4FuFvuHA8XR3-37yc-aW0GrX-XuPRU&s,0,,,,,
99,Little Miss,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTU8NOxSxswo3bU4ModvQn8mmaQDUwApjqu-YcP7lPO_1g7mVD4877L2kMFmbc&s,0,,,,,
100,ESPRIT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIBwwVF_bbLUJE0QK95Ec5bawzkcjktXO2SCUagQ_734J5OpmwuP6xnXyC3Hk&s,0,,,,,
101,Carrera,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSubA-2vlcxX8H-Nbi-YmflyNLRb_05fhggLKRzwr1OOBJF6bDgpOjglzXEig&s,0,,,,,
102,Clarks,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSOk1hPhRBhfg-IEEqoAlYQpxOfr-13kZdtluULQYvQ3yxkUiLOmeQELS0EcjY&s,0,,,,,
103,Flying Machine,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG-IoQVg4zG_8U_inze8RswUZaZl_YaJuMS2V_d9PXz9tvR2ahe_7Do2de5w&s,0,,,,,
104,Vishudh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8O07P3Vdzo0Ow6D5gWAhUBzANxB1MHyCrALPsob5F0Ci1dS5PJA60N_qcGJo&s,0,,,,,
105,Playboy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQa5VQkbKhPJCOZ3_HRVt3J2Ul5PVP4toGfhbFou0JO_lDPUJdC3Fji9DkIFQ&s,0,,,,,
106,Franco Leone,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTK99yKgOHPno4hjsO2Qrf_CqVxVNO9d3VwT14r06bd6A5qBetN6l2ttohfSn4&s,0,,,,,
107,Ganuchi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9DT5yTJ59sI5cw1izVOW3djhyQzNdgONyDXc0b_YpS5dgSVeo9plcSESNtQ&s,0,,,,,
108,AURELIA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfUBzaNJrJEHbVI1fdBSHDmNRSsOOeTM2Kn8yl0U1WE2EDyk2AUXBPiuHoAeE&s,0,,,,,
109,Genesis,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfu2tAlZW2QDrXUpugRzGa8ripY3UpRnNfseRsfZ8zAST69nAyty7jhuzXCQ&s,0,,,,,
110,Reid & Taylor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTE8k_XuyhH-SVl125U_nbCAltFIqQIxE_NLoUVm2yHOwBTc0P7OGUHAvr7iA&s,0,,,,,
111,Xoxo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmE_emYc4nC_-3k0HdJSWRYvXRJnQbI7bN18I7T1OvS7EHmT7a6ZNdGWuqQg&s,0,,,,,
112,Roadster,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrgJy21Ah3l7Ovo8Kv11ZhNvM6Aybb9Ws0hxV2jJ4Lgzc06GNWDTf44ZrAoA&s,0,,,,,
113,test,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7K7PSj8I0npwr8lWyzULJQMen-kkophgav9JNUzRopgPOANL9_iX1t_Ynrw&s,0,,,,,
114,Mother Earth,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRYgUbZLSH7Y-dUmrFxbI71iP3rDVw_1tc7dFWAbW94eAUpfK-bEI7c-9NbOQ&s,0,,,,,
115,Inc 5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSNG36eGbfAah9D3j6XIAmxC5ZZ2W1LZ1zxMXZAIAuyVX388qrco3j1ozJ9g&s,0,,,,,
116,Rocia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6RZTHdBP8f3aS2o5QZI2tRjR-gscmPndj8RHPAw6KkrlevvX-RUQ5pp-9Dg&s,0,,,,,
117,Chimp,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDt1mYty25Eifc79jb7IJPggp7S4mJ7xXVN4rCYCSFdN8gDoM4bsROO4esBg&s,0,,,,,
118,Hanes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQn1AneQ1WA3kI-o-JrG-KqdqJNK6lF_R13tYUcB5n_yrFJyPWnISfnuHmFyHE&s,0,,,,,
119,Belmonte,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkAfwHZyrYjmCr5CB-zfgJBqaTubcLZGrulWx2vJhcAbcFYDnSUmyik4LAmw&s,0,,,,,
120,AND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDWjMqviKJt1qIqwlFgCSrPeun7g5QdR2z_7ZPbR9KgJw7Ut4pKobr0pZHuQ&s,0,,,,,
121,Enroute Women,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPPC20R7A31cMIfbKIV12yghA2rcwuDpknZCeO4a5evr3pkDHik9PLjBI_sXE&s,0,,,,,
122,Vans,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYtMaEBgiJK5XPzNToSqI_W8zsoUImCfng7N201TcGXgWDxvDfdZNBJUn0L-0&s,0,,,,,
123,Arrow,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtf3zHVgCvFCKcvIGUMpndgQcC_a8Hc1ms4rCRUcBqKU6GtxaH7C7sFpDjfUo&s,0,,,,,
124,New Hide,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJcLsGhN1xscE57tJmNr4jX1XOVGfy80M8-SPpeeWE0HqaJZDngDz13IBucqg&s,0,,,,,
125,ADIDAS Originals,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQc_8b8XtFwmdupitEdCWUU6pt55vkQLWwqtoTawCBsfFMXUHRfUENucW7P2I0&s,0,,,,,
